city,date,rate
Hyderabad,24/05/2012,81.44
Hyderabad,03/06/2012,78.11
Hyderabad,29/06/2012,74.89
Hyderabad,24/07/2012,75.8
Hyderabad,25/07/2012,75.42
Hyderabad,09/10/2012,74.68
Hyderabad,27/10/2012,74.98
Hyderabad,16/11/2012,73.73
Hyderabad,18/01/2013,73.41
Hyderabad,16/02/2013,75.37
Hyderabad,02/03/2013,77.21
Hyderabad,16/03/2013,74.59
Hyderabad,02/04/2013,73.44
Hyderabad,16/04/2013,72.14
Hyderabad,01/05/2013,68.86
Hyderabad,01/06/2013,69.84
Hyderabad,16/06/2013,72.46
Hyderabad,29/06/2013,74.9
Hyderabad,15/07/2013,76.94
Hyderabad,01/08/2013,77.85
Hyderabad,01/09/2013,80.93
Hyderabad,14/09/2013,83.07
Hyderabad,01/10/2013,79.08
Hyderabad,01/11/2013,77.57
Hyderabad,21/12/2013,78.1
Hyderabad,04/01/2014,79.11
Hyderabad,01/03/2014,79.9
Hyderabad,01/04/2014,78.92
Hyderabad,16/04/2014,78
Hyderabad,07/06/2014,78.11
Hyderabad,25/06/2014,78.17
Hyderabad,01/07/2014,80.41
Hyderabad,01/08/2014,79.22
Hyderabad,15/08/2014,76.84
Hyderabad,31/08/2014,74.86
Hyderabad,01/10/2014,74.15
Hyderabad,15/10/2014,72.83
Hyderabad,01/11/2014,70.19
Hyderabad,01/12/2014,69.19
Hyderabad,16/12/2014,67.02
Hyderabad,17/01/2015,64.37
Hyderabad,01/02/2015,66.38
Hyderabad,04/02/2015,63.81
Hyderabad,06/02/2015,63.73
Hyderabad,16/02/2015,64.65
Hyderabad,01/03/2015,68.23
Hyderabad,02/04/2015,67.69
Hyderabad,15/04/2015,66.79
Hyderabad,01/05/2015,71.21
Hyderabad,16/05/2015,74.73
Hyderabad,16/06/2015,75.45
Hyderabad,01/07/2015,75.11
Hyderabad,15/07/2015,72.52
Hyderabad,01/08/2015,69.82
Hyderabad,15/08/2015,68.45
Hyderabad,01/09/2015,66.29
Hyderabad,01/11/2015,65.76
Hyderabad,16/11/2015,66.07
Hyderabad,01/12/2015,65.47
Hyderabad,16/12/2015,64.92
